Directory:  /datastaging/DV3/sap/out/PDM1517
Name:       RECIPE_Header_9_20181218090634.txt
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Recipe|Description|Change number|Primary Output|Division|Authorization Group|Validity From|Validity To|Created by|Created on|Changed by|Changed on|System Status|User Status|Formula|Flag
0000000000000000000000000000000000007850|GladW SiDsh 14oz 6/5ct TA HA09||000000000000012858|16|ALL|00010101|20080521|LPIERCE|20080514|LPIERCE|20080514|Released|Released|000000120387|
0000000000000000000000000000000000007850|GladW SiDsh 14oz 6/5ct TA HA09|000000002160|000000000000012858|16|ALL|20080522|99991231|LPIERCE|20080514|LPIERCE|20080523|Released|Released|000000120387|
0000000000000000000000000000000000007850|GladW SiDsh 14oz 6/5ct TA HA09|000000004537|000000000000012858|16|ALL|20080522|99991231|LPIERCE|20080514|LPIERCE|20080523|Obsolete|Released Submitted - Obsolete|000000120387|
0000000000000000000000000000000000007851|CU GladW SiDsh 14oz 5ct TA HA09||141195.004|16|ALL|00010101|99991231|LPIERCE|20080514|LPIERCE|20080514|Released|Released|000000120390|
0000000000000000000000000000000000007851|CU GladW SiDsh 14oz 5ct TA HA09|000000004537|141195.004|16|ALL|00010101|99991231|LPIERCE|20080514|LPIERCE|20080514|Obsolete|Released Submitted - Obsolete|000000120390|
0000000000000000000000000000000000007852|CU ClxDisfWps Oval 4x60ct||120396.001|11|ALL|00010101|99991231|AWHEELIS|20080514|AWHEELIS|20080519|Released|Released|000000120397|
0000000000000000000000000000000000007852|CU ClxDisfWps Oval 4x60ct|000000002195|120396.001|11|ALL|00010101|99991231|AWHEELIS|20080514|AWHEELIS|20080519|Released|Released|000000120397|
0000000000000000000000000000000000007852|CU ClxDisfWps Oval 4x60ct|000000014843|120396.001|11|ALL|00010101|99991231|AWHEELIS|20080514|AWHEELIS|20080519|Obsolete|Released Submitted - Obsolete|000000120397|
0000000000000000000000000000000000007853|GLADW SMBWL 32OZ 6/4CT TA HA09||000000000000012859|16|ALL|00010101|99991231|LPIERCE|20080514|LPIERCE|20080514|Released|Released|000000120399|
0000000000000000000000000000000000007853|GLADW SMBWL 32OZ 6/4CT TA HA09|000000004537|000000000000012859|16|ALL|00010101|99991231|LPIERCE|20080514|LPIERCE|20080514|Obsolete|Released Submitted - Obsolete|000000120399|
0000000000000000000000000000000000007854|CU GladW SmBwl 32oz 4ct TA HA09||000000000000012859|16|ALL|00010101|99991231|LPIERCE|20080514|LPIERCE|20080514|Released|Released|000000120402|
